source_name
Bruno Fernandes
Marcus Rashford
Amad Diallo
Alejandro Garnacho
Mason Mount
Joshua Zirkzee
Kobbie Mainoo
Scott McTominay
Casemiro
Diogo Dalot
Lisandro Martínez
Harry Maguire
Jonny Evans
Noussair Mazraoui
Matthijs de Ligt
André Onana
Rodrigo Muniz
Raúl Jiménez
Alex Iwobi
Adama Traoré
Harry Wilson
Emile Smith Rowe
Tom Cairney
Saša Lukić
Jay Stansfield
Andreas Pereira
Harrison Reed
Antonee Robinson
Calvin Bassey
Issa Diop
Kenny Tete
Bernd Leno
Liam Delap
Ali Al Hamadi
Omari Hutchinson
Wes Burns
Ben Johnson
Conor Chaplin
Marcus Harness
Massimo Luongo
Jack Taylor
Sam Morsy
Leif Davis
Jacob Greaves
Luke Woolfenden
Axel Tuanzebe
Sammie Szmodics
Christian Walton
Diogo Jota
Cody Gakpo
Luis Díaz
Mohamed Salah
Dominik Szoboszlai
Alexis Mac Allister
Ryan Gravenberch
Andrew Robertson
Kostas Tsimikas
Virgil van Dijk
Jarell Quansah
Ibrahima Konaté
Trent Alexander-Arnold
Conor Bradley
Alisson
Alexander Isak
Anthony Gordon
Harvey Barnes
Jacob Murphy
Emil Krafth
Joelinton
Bruno Guimarães
Sean Longstaff
Lewis Hall
Lloyd Kelly
Dan Burn
Fabian Schär
Valentino Livramento
Nick Pope
Ben Brereton
Cameron Archer
Adam Armstrong
Joe Aribo
Tyler Dibling
Flynn Downes
William Smallbone
Kyle Walker-Peters
Carlos Alcaraz
Yukinari Sugawara
Samuel Edozie
Jack Stephens
Jan Bednarek
Samuel Amo-Ameyaw
Taylor Harwood-Bellis
Alex McCarthy
Chris Wood
Taiwo Awoniyi
Callum Hudson-Odoi
Elliot Anderson
Anthony Elanga
Nicolás Domínguez
Morgan Gibbs-White
Danilo
Ryan Yates
Ibrahim Sangaré
Ola Aina
Harry Toffolo
Murillo
Willy Boly
Neco Williams
Matz Sels
Antoine Semenyo
